date,PCE Price Index Period Chg,Core PCE (Less Food & Energy) Period Chg
1986-12-01,0.14,0.13
1987-01-01,0.47,0.24
1987-02-01,0.35,0.2
1987-03-01,0.26,0.3
1987-04-01,0.37,0.42
1987-05-01,0.25,0.28
1987-06-01,0.38,0.27
1987-07-01,0.23,0.26
1987-08-01,0.4,0.34
1987-09-01,0.34,0.4
1987-10-01,0.32,0.43
1987-11-01,0.19,0.21
1987-12-01,0.18,0.21
1988-01-01,0.39,0.47
1988-02-01,0.15,0.21
1988-03-01,0.34,0.43
1988-04-01,0.49,0.49
1988-05-01,0.29,0.34
1988-06-01,0.43,0.42
1988-07-01,0.49,0.41
1988-08-01,0.3,0.25
1988-09-01,0.49,0.54
1988-10-01,0.33,0.38
1988-11-01,0.23,0.27
1988-12-01,0.31,0.33
1989-01-01,0.51,0.51
1989-02-01,0.33,0.25
1989-03-01,0.37,0.3
1989-04-01,0.67,0.34
1989-05-01,0.36,0.3
1989-06-01,0.22,0.27
1989-07-01,0.24,0.26
1989-08-01,0.01,0.14
1989-09-01,0.22,0.35
1989-10-01,0.39,0.36
1989-11-01,0.22,0.27
1989-12-01,0.29,0.28
1990-01-01,0.76,0.39
1990-02-01,0.44,0.48
1990-03-01,0.38,0.48
1990-04-01,0.21,0.3
1990-05-01,0.22,0.31
1990-06-01,0.44,0.39
1990-07-01,0.25,0.25
1990-08-01,0.67,0.42
1990-09-01,0.61,0.35
1990-10-01,0.57,0.34
1990-11-01,0.13,0.12
1990-12-01,0.09,0.14
1991-01-01,0.38,0.5
1991-02-01,0.05,0.28
1991-03-01,0.02,0.21
1991-04-01,0.18,0.2
1991-05-01,0.41,0.4
1991-06-01,0.17,0.22
1991-07-01,0.16,0.3
1991-08-01,0.23,0.27
1991-09-01,0.34,0.4
1991-10-01,0.19,0.22
1991-11-01,0.22,0.19
1991-12-01,0.25,0.25
1992-01-01,0.14,0.27
1992-02-01,0.25,0.27
1992-03-01,0.24,0.25
1992-04-01,0.27,0.33
1992-05-01,0.13,0.14
1992-06-01,0.18,0.08
1992-07-01,0.33,0.38
1992-08-01,0.13,0.09
1992-09-01,0.16,0.16
1992-10-01,0.35,0.38
1992-11-01,0.2,0.22
1992-12-01,0.17,0.19
1993-01-01,0.24,0.29
1993-02-01,0.15,0.19
1993-03-01,0.2,0.22
1993-04-01,0.27,0.29
1993-05-01,0.31,0.34
1993-06-01,0.03,0.1
1993-07-01,0.16,0.21
1993-08-01,0.17,0.19
1993-09-01,0.1,0.15
1993-10-01,0.31,0.16
1993-11-01,0.19,0.26
1993-12-01,0.02,0.04
1994-01-01,0.03,0.08
1994-02-01,0.23,0.22
1994-03-01,0.28,0.34
1994-04-01,0.12,0.15
1994-05-01,0.15,0.22
1994-06-01,0.24,0.22
1994-07-01,0.32,0.21
1994-08-01,0.23,0.11
1994-09-01,0.11,0.15
1994-10-01,0.17,0.24
1994-11-01,0.19,0.18
1994-12-01,0.06,0.03
1995-01-01,0.2,0.25
1995-02-01,0.18,0.16
1995-03-01,0.18,0.24
1995-04-01,0.26,0.23
1995-05-01,0.15,0.17
1995-06-01,0.1,0.09
1995-07-01,0.13,0.16
1995-08-01,0.22,0.24
1995-09-01,0.07,0.13
