date,CPI All Urban Consumers Period Chg,CPI Less Food & Energy (Core) Period Chg,CPI Food & Beverages Period Chg,CPI Energy Period Chg,CPI Shelter Period Chg,CPI Medical Care Period Chg,CPI Transportation Period Chg,CPI Apparel Period Chg,CPI Education & Communication Period Chg
1968-05-01,0.29,0.28,0.28,0.42,0.0,0.34,0.0,0.57,
1968-06-01,0.58,0.56,0.0,0.41,1.35,0.34,0.59,0.38,
1968-07-01,0.58,0.55,0.28,0.0,1.0,0.67,0.0,0.75,
1968-08-01,0.29,0.27,0.28,0.41,0.66,0.33,0.29,0.56,
1968-09-01,0.29,0.55,0.55,0.0,0.0,0.67,0.0,0.55,
1968-10-01,0.57,0.54,0.82,0.0,0.66,0.66,0.29,0.55,
1968-11-01,0.28,0.54,0.0,0.41,0.65,0.66,0.58,0.18,
1968-12-01,0.56,0.27,0.54,-0.41,0.65,0.65,-0.58,0.55,
1969-01-01,0.28,0.27,0.0,0.41,0.64,0.32,0.58,0.54,
1969-02-01,0.28,0.8,0.0,0.0,0.32,0.97,1.44,0.36,
1969-03-01,0.84,0.53,0.27,1.23,1.27,0.64,1.7,0.36,
1969-04-01,0.55,0.79,0.81,0.81,0.94,0.64,0.0,0.54,
1969-05-01,0.28,0.0,0.53,-0.4,0.62,0.63,-0.84,0.36,
1969-06-01,0.55,0.52,1.06,0.81,0.31,0.31,0.28,0.53,
1969-07-01,0.55,0.52,0.53,-0.4,0.93,0.63,0.0,0.53,
1969-08-01,0.27,0.52,0.52,0.0,0.61,0.31,0.28,0.0,
1969-09-01,0.54,0.52,0.52,0.4,0.91,0.93,-0.28,0.7,
1969-10-01,0.54,0.51,0.26,0.0,0.6,-0.62,0.84,0.35,
1969-11-01,0.54,0.26,1.03,0.0,0.6,0.62,0.28,0.52,
1969-12-01,0.53,0.51,1.02,0.4,0.6,0.31,0.56,0.17,
1970-01-01,0.53,0.51,0.25,0.0,0.59,0.61,1.1,0.34,
1970-02-01,0.53,0.51,0.51,0.0,1.18,0.61,0.27,0.52,
1970-03-01,0.52,0.75,0.0,-0.4,1.16,0.61,-0.27,0.0,
1970-04-01,0.52,0.75,0.25,2.0,0.57,0.9,1.37,0.34,
1970-05-01,0.26,0.25,0.5,-0.39,0.86,0.6,0.27,0.17,
1970-06-01,0.52,0.74,0.0,-0.39,0.57,0.59,0.54,0.34,
1970-07-01,0.26,0.25,0.25,0.79,0.28,0.59,0.53,0.17,
1970-08-01,0.26,0.49,0.0,-0.39,0.84,0.59,-0.27,0.34,
1970-09-01,0.51,0.49,0.5,0.79,0.84,0.58,0.53,0.51,
1970-10-01,0.51,0.48,0.25,1.17,0.28,0.29,1.06,0.34,
1970-11-01,0.51,0.72,-0.25,0.39,0.55,0.58,1.05,0.5,
1970-12-01,0.51,0.48,0.25,0.77,0.82,0.86,1.04,0.33,
1971-01-01,0.25,0.24,0.0,0.38,0.0,0.28,0.77,0.17,
1971-02-01,0.0,0.24,0.0,-0.38,-0.54,0.57,0.51,0.33,
1971-03-01,0.25,0.0,0.99,0.0,-0.55,0.56,0.0,0.0,
1971-04-01,0.25,0.47,0.49,-0.38,0.0,0.56,0.0,0.17,
