date,Median Household Income (current $) Period Chg,Real Median Household Income (2024 $) Period Chg,Average Hourly Earnings (Total Private) Period Chg,Real Disposable Personal Income Per Capita Period Chg
1983-05-01,,,,0.13
1983-06-01,,,,-0.0
1983-07-01,,,,1.18
1983-08-01,,,,-0.28
1983-09-01,,,,0.63
1983-10-01,,,,0.8
1983-11-01,,,,0.78
1983-12-01,,,,0.81
1984-01-01,,,,0.38
1984-02-01,,,,0.51
1984-03-01,,,,0.57
1984-04-01,,,,0.61
1984-05-01,,,,0.08
1984-06-01,,,,0.58
1984-07-01,,,,0.04
1984-08-01,,,,0.59
1984-09-01,,,,0.62
1984-10-01,,,,-0.45
1984-11-01,,,,0.37
1984-12-01,,,,0.55
1985-01-01,5.35,1.9,,-0.09
1985-02-01,,,,-0.97
1985-03-01,,,,-0.51
1985-04-01,,,,1.61
1985-05-01,,,,2.38
1985-06-01,,,,-2.17
1985-07-01,,,,0.14
1985-08-01,,,,-0.15
1985-09-01,,,,0.35
1985-10-01,,,,0.43
1985-11-01,,,,0.09
1985-12-01,,,,0.54
1986-01-01,5.42,3.7,,0.13
1986-02-01,,,,0.46
1986-03-01,,,,0.96
1986-04-01,,,,0.3
1986-05-01,,,,0.01
1986-06-01,,,,-0.17
1986-07-01,,,,0.42
1986-08-01,,,,0.03
1986-09-01,,,,-0.03
1986-10-01,,,,-0.19
1986-11-01,,,,-0.06
1986-12-01,,,,0.04
1987-01-01,4.66,1.25,,0.25
1987-02-01,,,,0.41
1987-03-01,,,,0.02
1987-04-01,,,,-3.87
1987-05-01,,,,3.98
1987-06-01,,,,-0.22
1987-07-01,,,,0.2
1987-08-01,,,,0.34
1987-09-01,,,,-0.07
1987-10-01,,,,0.58
1987-11-01,,,,0.36
1987-12-01,,,,0.88
1988-01-01,4.49,0.74,,0.21
1988-02-01,,,,0.58
1988-03-01,,,,0.39
1988-04-01,,,,0.31
1988-05-01,,,,0.1
1988-06-01,,,,0.31
1988-07-01,,,,0.34
1988-08-01,,,,0.2
1988-09-01,,,,0.11
1988-10-01,,,,0.45
1988-11-01,,,,-0.05
1988-12-01,,,,0.41
1989-01-01,6.17,1.7,,0.34
1989-02-01,,,,0.21
1989-03-01,,,,0.42
1989-04-01,,,,-0.6
1989-05-01,,,,-0.55
1989-06-01,,,,0.19
1989-07-01,,,,0.25
1989-08-01,,,,0.17
1989-09-01,,,,0.2
1989-10-01,,,,0.41
1989-11-01,,,,0.02
1989-12-01,,,,-0.07
1990-01-01,3.56,-1.21,,0.53
1990-02-01,,,,0.15
1990-03-01,,,,-0.05
1990-04-01,,,,0.54
1990-05-01,,,,-0.21
1990-06-01,,,,0.04
1990-07-01,,,,0.24
1990-08-01,,,,-0.74
1990-09-01,,,,-0.15
1990-10-01,,,,-0.92
1990-11-01,,,,-0.07
1990-12-01,,,,0.49
1991-01-01,0.63,-2.92,,-0.36
1991-02-01,,,,0.06
