date,CPI All Urban Consumers YoY %,CPI Less Food & Energy (Core) YoY %,CPI Food & Beverages YoY %,CPI Energy YoY %,CPI Shelter YoY %,CPI Medical Care YoY %,CPI Transportation YoY %,CPI Apparel YoY %,CPI Education & Communication YoY %
1962-10-01,1.3342,1.2862,,1.3393,1.1765,2.5974,1.3115,1.0823,
1962-11-01,1.3342,0.9615,,0.8889,0.7812,2.5974,1.6447,0.8677,
1962-12-01,1.2329,1.2821,,1.7857,0.7812,2.5862,1.9802,0.6508,
1963-01-01,1.3316,0.9615,,1.7857,1.1719,3.0172,0.6579,1.3043,
1963-02-01,1.2288,1.2821,,0.4425,1.1719,2.5751,0.6557,1.3015,
1963-03-01,1.1269,1.278,,1.3393,1.5625,2.1368,0.9836,1.0823,
1963-04-01,0.8937,1.278,,-0.4405,1.5625,2.1368,-0.3236,1.2987,
1963-05-01,0.8929,0.9554,,-0.4405,1.1673,2.1277,0.0,1.0823,
1963-06-01,1.3241,1.2739,,0.0,0.7752,2.5532,0.0,1.0799,
1963-07-01,1.5553,1.2739,,1.7937,1.1628,2.1186,0.9804,1.0776,
1963-08-01,1.5522,1.2698,,0.8929,1.1628,2.5424,0.6494,1.7316,
1963-09-01,0.9862,1.2698,,-1.3158,1.1628,2.5424,0.0,0.8584,
1963-10-01,1.2179,1.5873,,0.0,1.5504,2.1097,0.9709,0.8565,
1963-11-01,1.3167,1.5873,,-0.4405,1.5504,2.5316,0.6472,1.5054,
1963-12-01,1.6458,1.5823,,-0.8772,1.938,2.1008,0.9709,1.7241,
1964-01-01,1.6426,2.2222,,0.0,1.5444,2.0921,2.6144,1.2876,
1964-02-01,1.4108,1.8987,,-2.2026,1.9305,2.0921,1.9544,1.0707,
1964-03-01,1.4094,1.5773,,-0.4405,1.5385,2.0921,1.9481,1.0707,
1964-04-01,1.542,1.5773,,-0.4425,1.5385,2.5105,1.6234,1.0684,
1964-05-01,1.5405,1.5773,,-0.4425,1.5385,2.0833,1.2945,1.2848,
1964-06-01,1.3068,1.5723,,0.4444,1.5385,2.0747,1.6181,1.0684,
1964-07-01,1.0753,1.5723,,-0.8811,1.5326,2.0747,1.2945,1.0661,
1964-08-01,0.9756,1.2539,,0.0,1.5326,2.0661,1.2903,0.8511,
1964-09-01,1.1719,1.2539,,0.0,1.9157,2.0661,0.9677,0.4255,
1964-10-01,1.2033,1.25,,-0.8811,1.5267,2.0661,0.3205,0.2123,
1964-11-01,1.397,1.5625,,-0.4425,1.9084,2.0576,0.9646,0.2119,
1964-12-01,1.1982,1.2461,,0.0,1.5209,2.0576,1.6026,0.4237,
1965-01-01,1.0989,1.2422,,0.0,1.9011,1.6393,1.5924,0.6356,
1965-02-01,1.197,1.2422,,2.2523,1.8939,2.0492,1.5974,0.6356,
1965-03-01,1.1959,1.2422,,0.0,1.8939,2.459,1.2739,0.6356,
1965-04-01,1.3893,1.5528,,1.7778,1.8939,2.0408,1.9169,0.6342,
1965-05-01,1.6139,1.5528,,2.2222,1.8939,2.449,2.2364,0.8457,
1965-06-01,1.9349,1.2384,,2.2124,1.8939,2.0325,1.5924,1.0571,
1965-07-01,1.8053,1.2384,,2.2222,1.8868,2.8455,1.9169,0.6329,
1965-08-01,1.6103,1.2384,,1.7699,1.8868,2.4291,1.5924,0.8439,
1965-09-01,1.7375,1.548,,2.6667,1.5038,2.4291,1.9169,1.2712,
1965-10-01,1.7031,1.2346,,2.2222,1.8797,2.834,1.5974,1.4831,
1965-11-01,1.7302,1.2308,,2.6667,1.8727,2.8226,1.5924,1.4799,
1965-12-01,1.92,1.5385,,2.2124,1.8727,2.8226,0.9464,1.4768,
1966-01-01,1.9182,1.227,,1.3158,1.8657,3.2258,0.0,1.6842,
1966-02-01,2.5575,1.5337,,2.2026,1.487,2.8112,0.6289,1.8947,
