date,Pending Sales (Redfin),Homes Sold (Redfin),New Listings (Redfin),Active Inventory (Redfin),Months of Supply (Redfin),Median Days on Market (Redfin),Sale-to-List Ratio (Redfin),Price Drop Share (Redfin),Median Sale Price (Redfin),Off Market in Two Weeks (Redfin),Pending Sales SA (Redfin),Homes Sold SA (Redfin),New Listings SA (Redfin),Active Inventory SA (Redfin)
2018-08-31,656639.0,632045.0,710090.0,1740342.0,2.753509802,40.0,0.9841491932,0.1619196147,283082.0,0.3382754862,596362.910148168,519377.477663629,634369.180585567,1607427.35435726
2018-09-30,557828.0,493474.0,609315.0,1758686.0,3.563886056,43.0,0.9822479605,0.1600097356,278062.0,0.3159592608,597050.661838326,513527.103643044,631092.85422357,1629561.92803322
2018-10-31,583514.0,526314.0,612440.0,1729788.0,3.286610688,47.0,0.9802037152,0.1763802948,276914.0,0.2959910681,590369.292674721,508029.716259033,633800.116221115,1648882.660819
2018-11-30,487275.0,478576.0,469169.0,1627939.0,3.401631255,50.0,0.9784763795,0.142438886,278617.0,0.2602011418,584773.71754432,508862.902538484,622036.787025452,1644294.64198853
2018-12-31,401875.0,444461.0,321831.0,1455076.0,3.273798511,54.0,0.9768225026,0.09583665214,277169.0,0.2285299683,585874.372048934,497550.965667135,613612.075987998,1650199.30681916
2019-01-31,504001.0,336607.0,537830.0,1479745.0,4.396061246,61.0,0.9742305494,0.1345683201,270809.0,0.2790676667,609295.557482356,497938.143551388,634431.540829502,1662585.76085733
2019-02-28,539953.0,374804.0,549852.0,1505022.0,4.015493367,62.0,0.9769593508,0.118180752,274105.0,0.3317581282,614578.53691655,513830.008006666,616516.803359568,1659345.92335011
2019-03-31,683268.0,491118.0,717320.0,1569065.0,3.194886053,53.0,0.9802639597,0.1260300083,282658.0,0.3874232128,620227.176014259,524503.222108333,639393.263211106,1657991.79561811
2019-04-30,740353.0,552059.0,787684.0,1644038.0,2.978011256,45.0,0.9830776489,0.1329081021,287893.0,0.4212063008,629342.422523496,527156.889332114,660031.349461348,1664648.93904632
2019-05-31,753341.0,646998.0,840935.0,1738468.0,2.686975944,40.0,0.9856251575,0.1466461167,296667.0,0.415872564,621027.970832336,537639.948742846,658303.200902636,1674334.5751821
2019-06-30,707023.0,624840.0,744120.0,1780738.0,2.849911095,39.0,0.9864136229,0.1529014011,301477.0,0.3897010499,625004.750396143,537250.403839506,635160.844641861,1667751.65160474
2019-07-31,702546.0,637392.0,712799.0,1765232.0,2.769460383,40.0,0.9853803055,0.1578529208,298915.0,0.3587970881,619369.417475766,533945.319295533,614791.356955959,1631192.72446334
2019-08-31,673292.0,629059.0,681908.0,1739863.0,2.765818991,43.0,0.9836605582,0.1636869097,295896.0,0.3386248287,615327.803852209,536572.870544518,619266.772080921,1608761.32087013
2019-09-30,603257.0,535258.0,629557.0,1729993.0,3.232073644,45.0,0.9821396936,0.1996032311,292161.0,0.3265536553,623583.480114922,527862.724000559,632842.87688612,1605315.90729014
2019-10-31,620021.0,546487.0,613766.0,1673646.0,3.062556499,47.0,0.9811472222,0.1654400956,292768.0,0.3124085473,627155.308750159,526177.10871103,620948.856536135,1583165.78978219
2019-11-30,526238.0,483219.0,445180.0,1534024.0,3.17459657,49.0,0.9804483937,0.1287172147,292813.0,0.2791835575,636075.650412985,532669.278372103,610068.71811254,1551179.03281141
2019-12-31,439272.0,514650.0,327034.0,1327539.0,2.579497573,54.0,0.9790670219,0.09415026103,295231.0,0.2354140463,625541.730329301,551528.14083511,610684.458921834,1522101.31985125
