date,"Typical Home Value (Zillow ZHVI, SA)","Typical Rent (Zillow ZORI, All Homes + Multifamily)","For-Sale Inventory (Zillow, smoothed)",Sales Count Nowcast (Zillow)
2021-01-31,274686.2463544467,1423.0668063011694,949584.0,347930.0
2021-02-28,278425.98256855324,1435.0977380379359,881641.0,344371.0
2021-03-31,282329.5577022157,1450.2268389463052,882134.0,469279.0
2021-04-30,286598.8196078007,1468.2620169057711,882366.0,496027.0
2021-05-31,291334.96207404375,1492.2515454938466,934197.0,501687.0
2021-06-30,296428.5564539835,1520.6084915447186,978095.0,587759.0
2021-07-31,301000.62595047435,1550.163790409592,1028626.0,550778.0
2021-08-31,304249.74550223566,1577.6841400196054,1071839.0,542797.0
2021-09-30,306232.8063404779,1599.9247010101974,1084093.0,508493.0
2021-10-31,308176.44426023983,1613.8165237506241,1067941.0,486072.0
2021-11-30,310811.38032897824,1622.9955322997941,997943.0,467332.0
2021-12-31,314058.76259908866,1631.9724277902546,887152.0,469842.0
2022-01-31,318526.41385530675,1642.3803676335426,777174.0,351191.0
2022-02-28,323877.30467144214,1656.7588070787492,706996.0,341162.0
2022-03-31,330168.5532742739,1671.7413376018255,727008.0,449763.0
2022-04-30,336456.3411602522,1691.272815738778,774573.0,447921.0
2022-05-31,342075.1232734429,1711.2784921969696,860427.0,473699.0
2022-06-30,346771.772206459,1731.9728051872132,947012.0,492319.0
2022-07-31,349239.94101144664,1749.0424335203443,1033432.0,420129.0
2022-08-31,349615.6398280598,1758.6499519353697,1092211.0,437938.0
2022-09-30,348332.9059423832,1760.5903509110503,1101632.0,388562.0
2022-10-31,347099.42572305474,1756.0242307134636,1085232.0,339255.0
2022-11-30,346086.67502043437,1750.1419518573407,1032719.0,292493.0
2022-12-31,345166.85929710837,1747.4736105013963,956029.0,278443.0
2023-01-31,343961.4181238865,1749.4031004792882,884258.0,215587.0
2023-02-28,343080.4475562423,1755.950212146927,831098.0,236660.0
2023-03-31,343018.1806906795,1768.309871851744,835546.0,323516.0
2023-04-30,343994.67564141535,1778.8997589505238,845933.0,298869.0
2023-05-31,345640.9093444871,1790.6409021880486,879953.0,367797.0
2023-06-30,347602.9040155075,1797.422801777552,906312.0,391924.0
2023-07-31,349372.7690378038,1805.784689019644,930380.0,335374.0
2023-08-31,351015.1280284762,1810.052343631955,949513.0,367156.0
2023-09-30,352255.93773253844,1810.328270337608,957662.0,317164.0
2023-10-31,353184.4420866633,1806.8184524179978,972710.0,304554.0
2023-11-30,353842.21465124254,1801.6513849833864,964640.0,266357.0
2023-12-31,354278.7333531102,1799.1777137089098,926056.0,254699.0
2024-01-31,354713.1257246116,1802.1275233195545,884124.0,217195.0
2024-02-29,355509.18378891115,1809.728920698124,870160.0,240159.0
2024-03-31,357057.348897425,1820.1422570399102,907590.0,289157.0
2024-04-30,358921.44584975834,1830.7526095903106,961206.0,326187.0
2024-05-31,360361.34761401516,1841.7791785717966,1031279.0,360357.0
2024-06-30,360925.3609901213,1851.4126450044769,1098649.0,334511.0
2024-07-31,361074.0346681651,1858.776590997637,1152764.0,352328.0
2024-08-31,361318.44906536007,1861.8774657172075,1181781.0,343081.0
2024-09-30,361770.9816507808,1861.6164161855195,1192842.0,295694.0
2024-10-31,362362.04383937997,1857.8238863897147,1197150.0,317223.0
2024-11-30,362857.2013766875,1854.3441446282955,1173300.0,273891.0
2024-12-31,363580.2857239263,1851.8900561874948,1113463.0,283072.0
2025-01-31,364212.64603022876,1855.9173122844181,1062381.0,228753.0
2025-02-28,364673.95941954566,1864.0210194426916,1043117.0,235680.0
2025-03-31,364397.6998965514,1875.848731532796,1097475.0,289808.0
2025-04-30,363867.87388327724,1886.0975509230607,1167197.0,324733.0
2025-05-31,363180.0741338015,1894.9182396576775,1262386.0,352010.0
2025-06-30,362560.84258329164,1901.444661778348,1329558.0,359536.0
2025-07-31,362132.8412883381,1905.0917626451471,1373264.0,357359.0
2025-08-31,361904.4767730399,1906.2366311458143,1380205.0,341460.0
2025-09-30,362146.82073523634,1904.9211380654024,1373116.0,326838.0
2025-10-31,362582.45957441954,1901.3104874999701,1362806.0,332061.0
2025-11-30,363260.4840225416,1895.6366615747252,1322706.0,263951.0
2025-12-31,364053.71117149893,1891.1402585971923,1239517.0,303764.0
2026-01-31,364810.5019240233,1892.4399228056184,1158763.0,217693.0
2026-02-28,365526.7823110949,1899.5819783796048,1115629.0,235352.0
2026-03-31,366018.81522011664,1910.4249941685812,1155079.0,305061.0
2026-04-30,368197.74670613307,1929.6422102592069,1218540.0,332398.0
2026-05-31,370320.2319282247,1950.8681283538579,1299908.0,355042.0
