date,Total Building Permits Period %,Single-Family Permits Period %,2-4 Unit Permits Period %,5+ Unit Permits Period %,Permits - Northeast Period %,Permits - Midwest Period %,Permits - South Period %,Permits - West Period %
1979-10-01,-9.5849,-6.6321,-1.4925,-16.8831,-29.3532,-13.2013,-2.5758,-8.6498
1979-11-01,-13.842,-14.5394,-27.2727,-8.4821,6.338,-22.8137,-13.8414,-15.0115
1979-12-01,-1.7241,0.9091,23.9583,-12.6829,0.6623,10.3448,-6.6787,-1.9022
1980-01-01,2.0734,1.1583,-5.042,6.4246,-17.1053,3.5714,8.8975,-0.554
1980-02-01,-6.3281,-6.743,-4.4248,-6.0367,3.9683,-17.6724,-6.0391,-3.0641
1980-03-01,-17.598,-21.4188,-12.037,-11.4525,-6.1069,-31.4136,-12.6654,-21.8391
1980-04-01,-18.2186,-17.3611,-28.4211,-16.7192,-27.6423,-4.5802,-14.9351,-26.1029
1980-05-01,6.5594,6.7227,27.9412,0.7576,17.9775,8.0,2.5445,8.4577
1980-06-01,29.849,27.9528,14.9425,38.3459,14.2857,19.2593,35.2357,33.945
1980-07-01,12.6118,18.7692,19.0,0.0,-1.6667,34.7826,7.156,16.4384
1980-08-01,8.5782,9.5855,13.4454,4.8913,3.3898,1.8433,8.2192,15.2941
1980-09-01,8.5589,4.1371,7.4074,18.6528,11.4754,8.1448,14.2405,-1.2755
1980-10-01,-7.9515,-6.4699,-7.5862,-10.917,-0.7353,0.4184,-12.6039,-6.9767
1980-11-01,1.2445,-0.6068,5.9701,3.4314,-5.9259,-7.9167,3.645,5.8333
1980-12-01,-9.6891,-9.0354,-13.3803,-9.7156,-10.2362,-4.5249,-5.0459,-20.4724
1981-01-01,-2.2418,-6.9799,13.8211,1.8373,-2.6316,-5.6872,-2.0934,0.0
1981-02-01,-1.8018,1.2987,-16.4286,-2.0619,8.1081,-10.0503,-0.8224,-1.9802
1981-03-01,-1.3344,-1.7094,-3.4188,0.0,5.0,9.4972,-6.3018,-0.3367
1981-04-01,0.5917,-0.5797,11.5044,-0.5263,2.381,-16.3265,1.7699,8.7838
1981-05-01,-1.4286,-4.6647,-12.6984,8.2011,-13.9535,-11.5854,0.5217,5.2795
1981-06-01,-16.7945,-13.6086,-2.7273,-25.6724,-1.8018,-5.5172,-19.3772,-22.1239
1981-07-01,-4.2008,-3.8938,-7.4766,-3.6184,8.2569,-11.6788,0.6438,-14.0152
1981-08-01,-4.9198,-5.709,-9.0909,-2.0478,-2.5424,-5.7851,-6.3966,-2.6432
1981-09-01,-4.7244,-9.9609,-11.1111,6.6202,-17.3913,-3.5088,-2.5057,-3.1674
1981-10-01,-13.6954,-13.0152,6.25,-19.9346,10.5263,-9.0909,-19.8598,-14.486
1981-11-01,2.3256,2.4938,-8.2353,5.7143,-17.1429,0.0,15.1603,-9.2896
1981-12-01,6.4171,11.4355,10.2564,-2.7027,3.4483,3.0,9.1139,3.6145
1982-01-01,-0.2513,-3.0568,-17.4419,10.7143,-20.0,-23.301,9.5128,-0.5814
1982-02-01,1.7632,0.2252,2.8169,3.9427,20.8333,-2.5316,0.2119,0.0
1982-03-01,10.2723,6.2921,6.8493,17.2414,9.1954,31.1688,4.0169,18.7135
1982-04-01,-0.3367,-1.2685,-3.8462,1.7647,3.1579,6.9307,2.0325,-11.33
1982-05-01,7.3198,4.2827,38.6667,4.6243,16.3265,34.2593,-2.3904,13.3333
1982-06-01,-4.1973,3.9014,-17.3077,-11.326,-11.4035,-20.0,0.4082,0.0
1982-07-01,14.3483,0.0,-2.3256,41.433,-3.9604,31.0345,9.7561,25.0
1982-08-01,-11.3027,3.3597,4.7619,-30.6167,12.3711,-25.0,-5.7407,-23.9216
1982-09-01,12.527,11.6635,10.2273,14.6032,3.6697,23.6842,9.6267,18.5567
1982-10-01,10.2687,12.5,-11.3402,12.4654,12.3894,0.0,10.2151,15.6522
