date,PPI Final Demand - Finished Goods Period %,PPI Final Demand - Less Food & Energy Period %
2018-10-01,0.7793,0.3425
2018-11-01,-0.8217,0.2438
2018-12-01,-0.3899,0.0973
2019-01-01,-0.9295,0.4373
2019-02-01,0.4938,0.1451
2019-03-01,0.7862,0.1449
2019-04-01,0.8289,0.0482
2019-05-01,-0.1934,0.0964
2019-06-01,-0.4845,0.0482
2019-07-01,0.2921,0.1444
2019-08-01,-0.2913,0.0
2019-09-01,0.0,0.0481
2019-10-01,0.6329,0.1922
2019-11-01,0.2903,0.1439
2019-12-01,0.5789,0.0
2020-01-01,-0.2398,0.0479
2020-02-01,-0.7692,0.2872
2020-03-01,-2.2287,0.0
2020-04-01,-2.775,0.2387
2020-05-01,2.0897,-0.0952
2020-06-01,0.3495,0.0
2020-07-01,0.5473,0.1907
2020-08-01,0.1484,0.1427
2020-09-01,0.3953,0.0475
2020-10-01,0.3445,0.095
2020-11-01,0.1962,0.3321
2020-12-01,1.1258,0.0946
2021-01-01,1.1133,0.3307
2021-02-01,1.2446,0.2825
2021-03-01,0.8983,0.3756
2021-04-01,0.5623,0.5145
2021-05-01,1.0252,0.5584
2021-06-01,1.4299,0.6941
2021-07-01,0.6362,0.6512
