date,Total Housing Completions Period %,Single-Family Completions Period %,5+ Unit Completions Period %
1988-08-01,1.5717,0.0924,3.5443
1988-09-01,-1.2895,2.5854,-10.2689
1988-10-01,-0.1306,-1.3501,2.7248
1988-11-01,-7.9791,-6.9343,-9.0186
1988-12-01,9.9502,9.3137,8.7464
1989-01-01,0.905,3.7668,-5.0938
1989-02-01,2.3062,0.5186,9.0395
1989-03-01,-9.7057,-10.7481,-7.2539
1989-04-01,6.9348,6.5511,5.0279
1989-05-01,-6.0311,-5.7866,-14.3617
1989-06-01,-7.1084,-7.0058,1.8634
1989-07-01,2.9718,0.516,6.4024
1989-08-01,3.1025,6.9815,-9.4556
1989-09-01,-6.3681,-8.8292,10.1266
1989-10-01,-0.3737,4.5263,-19.5402
1989-11-01,10.6527,8.1571,21.0714
1989-12-01,-11.5932,-13.9665,-7.0796
1990-01-01,15.6442,15.9091,17.7778
1990-02-01,-10.3448,-3.268,-23.9892
1990-03-01,-0.5178,-2.7992,4.9645
1990-04-01,-0.9665,-4.2701,5.0676
1990-05-01,1.4264,2.5934,1.2862
1990-06-01,-6.5137,-4.2467,-11.746
1990-07-01,2.5337,3.2735,-4.6763
1990-08-01,0.9266,-1.9427,12.8302
1990-09-01,0.3826,-0.1043,6.3545
1990-10-01,-2.2866,-3.3403,-0.3145
1990-11-01,-2.6521,-0.324,-12.3028
1990-12-01,-6.0096,-3.5753,-10.0719
1991-01-01,-2.046,-3.9326,6.0
1991-02-01,-5.1349,-3.7427,-12.0755
1991-03-01,7.8899,4.9818,15.4506
1991-04-01,-7.0578,-4.9769,-11.1524
1991-05-01,-2.1043,-2.5579,1.2552
1991-06-01,2.1495,2.0,-1.2397
1991-07-01,-1.5554,0.8578,-10.8787
1991-08-01,-2.4164,-0.3645,-6.5728
1991-09-01,15.8095,7.9268,34.1709
1991-10-01,-11.5132,-0.904,-39.3258
1991-11-01,-5.855,-5.7013,-5.5556
1991-12-01,-1.0859,0.9674,-11.1111
1992-01-01,5.8882,2.2754,20.5882
1992-02-01,3.4873,5.6206,-11.5854
1992-03-01,2.7322,7.0953,-2.069
1992-04-01,-3.9894,-7.3499,9.8592
1992-05-01,9.603,11.1732,-3.2051
1992-06-01,0.1685,-0.3015,5.298
1992-07-01,5.2145,4.3347,11.9497
1992-08-01,-8.8729,-7.6329,-14.0449
1992-09-01,-1.4912,-1.569,-1.9608
1992-10-01,1.4248,3.0818,-4.6667
1992-11-01,7.4627,3.5052,27.972
1992-12-01,-2.0425,-1.2948,-8.7432
