date,CPI - New York Period %,CPI - Philadelphia Period %,CPI - Boston Period %,CPI - Chicago Period %,CPI - Detroit Period %,CPI - Dallas Period %,CPI - Houston Period %,CPI - Atlanta Period %,CPI - Miami Period %,CPI - San Francisco Period %,CPI - Seattle Period %,CPI - West Region (Size Class A) Period %
1947-09-01,1.7241,2.1552,2.6906,3.125,0.8696,,1.4286,,,4.4776,,
1947-10-01,0.0,-0.4219,-0.8734,-0.4329,1.7241,,0.939,,,,,
1947-11-01,1.2712,0.8475,0.4405,0.4348,-0.4237,,1.3953,3.5874,,,2.8302,
1947-12-01,0.8368,1.6807,1.7544,1.2987,1.7021,,1.8349,,,1.9048,,
1948-01-01,1.2448,0.8264,1.2931,0.4274,0.8368,,0.9009,,,,,
1948-02-01,-0.4098,-0.8197,-0.8511,-1.2766,-0.8299,,0.0,0.8658,,,2.7523,
1948-03-01,-1.2346,-0.8264,-0.4292,0.0,-0.4184,,0.0,,,1.4019,,
1948-04-01,1.6667,2.5,1.7241,2.1552,2.1008,,0.4464,,,,,
1948-05-01,0.4098,0.813,0.4237,1.2658,0.823,,0.0,1.2876,,,2.2321,
1948-06-01,0.8163,0.8065,1.2658,0.8333,0.8163,,0.8889,,,1.3825,,
1948-07-01,2.0243,0.4,1.25,1.2397,0.8097,,0.8811,,,,,
1948-08-01,0.3968,1.1952,0.4115,0.4082,0.0,,0.8734,3.3898,,,1.31,
1948-09-01,0.0,0.0,0.0,0.4065,-0.4016,,0.0,,,1.8182,,
1948-10-01,-0.7905,-0.3937,-0.4098,-0.8097,-0.4032,,-0.4329,,,,,
1948-11-01,-0.3984,-1.1858,-0.823,-1.2245,-0.8097,,-0.4348,-1.6393,,,-1.2931,
1948-12-01,-1.2,-0.8,-1.2448,-0.4132,0.0,,0.0,,,0.0,,
1949-01-01,0.0,-0.8065,-0.4202,-0.4149,-0.8163,,-0.4367,,,,,
1949-02-01,-1.2146,-0.4065,-1.6878,-0.8333,-0.4115,,-1.3158,-1.6667,,,0.4367,
1949-03-01,0.4098,0.4082,0.8584,0.8403,0.0,,0.0,,,-1.3393,,
1949-04-01,0.4082,0.0,0.0,0.4167,0.0,,0.4444,,,,,
1949-05-01,-0.4065,0.4065,0.0,-0.4149,0.4132,,-0.4425,0.4237,,,-0.8696,
1949-06-01,0.0,-0.4049,0.4255,0.8333,0.0,,0.0,,,-0.4525,,
1949-07-01,0.0,-0.813,-0.4237,-1.2397,-0.823,,0.0,,,,,
1949-08-01,0.0,0.4098,0.8511,0.4184,0.0,,0.4444,1.2658,,,-1.3158,
1949-09-01,0.4082,0.4082,0.8439,0.8333,0.0,,0.4425,,,-0.4545,,
1949-10-01,-1.2195,0.0,-0.8368,-0.8264,-0.8299,,0.4405,,,,,
1949-11-01,0.0,-0.4065,0.0,0.4167,0.8368,,0.8772,-0.8333,,,0.8889,
1949-12-01,-0.4115,-0.8163,-0.8439,-1.2448,-0.4149,,0.0,,,-0.9132,,
1950-01-01,-0.8264,-0.823,-0.4255,-0.4202,-0.4167,,-0.4348,,,,,
1950-02-01,0.4167,0.0,-0.4274,0.0,-0.4184,,0.0,-1.6807,,,-0.4405,
1950-03-01,0.0,0.4149,0.8584,0.4219,0.8403,,0.4367,,,0.4608,,
1950-04-01,0.4149,0.0,0.0,-0.4202,0.0,,-0.4348,,,,,
1950-05-01,0.0,0.4132,0.0,1.2658,0.8333,,0.0,0.8547,,,0.0,
1950-06-01,0.4132,0.823,1.2766,0.0,0.8264,,0.4367,,,-0.4587,,
1950-07-01,1.6461,0.8163,0.8403,1.25,0.8197,,0.8696,,,,,
1950-08-01,0.0,0.8097,0.8333,0.823,0.4065,,1.7241,3.3898,,,1.7699,
1950-09-01,1.2146,0.8032,0.0,0.4082,1.2146,,0.8475,,,1.8433,,
1950-10-01,0.4,0.3984,0.8264,0.4065,0.8,,0.0,,,,,
1950-11-01,0.7968,0.0,0.0,0.4049,0.3968,,0.4202,1.6393,,,3.4783,
1950-12-01,1.1858,2.381,0.8197,1.6129,0.7905,,1.6736,,,3.6199,,
1951-01-01,1.1719,1.938,1.626,1.1905,1.5686,,2.0576,,,,,
1951-02-01,1.5444,2.2814,1.2,1.5686,1.1583,,0.8065,4.0323,,,2.9412,
1951-03-01,0.0,0.0,0.0,0.0,0.3817,,0.4,,,3.9301,,
1951-04-01,0.0,0.3717,0.0,0.3861,0.0,,0.3984,,,,,
1951-05-01,0.7605,0.0,0.3953,0.0,0.0,,0.0,2.7132,,,1.6327,
1951-06-01,-0.7547,-0.3704,0.0,0.3846,0.7605,,-0.3968,,,-0.4202,,
1951-07-01,0.3802,0.0,0.3937,0.3831,0.0,,0.3984,,,,,
1951-08-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,-0.4016,
1951-09-01,0.7576,0.3717,0.3922,0.3817,0.3774,,0.3968,,,0.0,,
1951-10-01,0.3759,0.3704,0.7812,0.7605,0.3759,,0.3953,,,,,
1951-11-01,0.3745,1.107,0.3876,0.7547,0.7491,,0.3937,1.5094,,,2.0161,
1951-12-01,0.0,0.0,0.3861,-0.3745,0.3717,,0.3922,,,2.5316,,
1952-01-01,0.0,0.0,-0.3846,0.0,0.0,,-0.3906,,,,,
1952-02-01,-0.3731,-1.0949,-0.3861,-1.1278,-0.7407,,-0.3922,-0.3717,,,0.3953,
1952-03-01,-0.3745,0.369,0.0,0.3802,0.0,,0.0,,,0.0,,
1952-04-01,0.3759,0.3676,0.0,0.3788,0.7463,,0.0,,,,,
1952-05-01,0.0,0.0,0.3876,0.7547,0.0,,0.0,-0.3731,,,0.3937,
1952-06-01,0.0,0.3663,0.3861,0.3745,0.0,,0.0,,,2.0576,,
1952-07-01,1.4981,1.0949,1.5385,0.3731,0.7407,,0.3937,,,,,
1952-08-01,0.0,0.0,0.0,0.3717,0.3676,,0.3922,2.2472,,,0.0,
1952-09-01,0.0,0.0,-0.3788,-0.3704,-0.3663,,-0.3906,,,-0.4032,,
1952-10-01,0.0,0.0,0.0,0.0,0.7353,,0.7843,,,,,
1952-11-01,0.369,0.0,-0.7605,0.0,0.0,,0.0,0.0,,,0.7843,
1952-12-01,-0.7353,0.0,-0.3831,-0.3717,0.7299,,0.3891,-0.3663,,0.8097,,
1953-01-01,-0.3704,-0.361,0.0,-0.3731,-0.3623,,,,,,,
1953-02-01,-0.3717,-0.7246,,-0.3745,-0.7273,,-0.3876,,,,-0.7782,
1953-03-01,0.0,0.365,,0.0,0.3663,,,0.0,,0.0,,
1953-04-01,0.0,-0.3636,-0.3846,0.3759,0.0,,,,,,,
1953-05-01,0.0,0.365,,0.3745,0.365,,0.3891,,,,1.1765,
1953-06-01,0.7463,0.7273,,0.3731,0.7273,,,0.3676,,0.4016,,
1953-07-01,0.3704,0.0,1.1583,0.3717,0.361,,,,,,,
1953-08-01,0.369,0.0,,0.7407,0.0,,0.0,,,,0.3876,
1953-09-01,0.3676,0.361,,0.0,0.0,,,0.3663,,0.8,,
1953-10-01,0.0,0.0,0.7634,0.7353,0.3597,,,,,,,
1953-11-01,-0.3663,-0.3597,,-0.7299,-0.7168,,0.3876,,,,-0.3861,
1953-12-01,0.3676,0.0,,0.0,0.0,,,-0.365,,0.0,,
1954-01-01,0.0,0.361,-1.1364,0.0,0.361,,,,,,,
1954-02-01,-0.3663,0.0,,0.0,-0.3597,,0.0,,,,0.0,
1954-03-01,-0.3676,-0.3597,,0.0,0.0,,,0.0,,-0.3968,,
1954-04-01,0.369,0.361,0.0,0.0,0.0,,,,,,,
1954-05-01,0.0,0.0,,0.7353,0.361,,-0.3861,,,,0.0,
1954-06-01,0.0,0.7194,,0.0,0.0,,,0.3663,,0.0,,
1954-07-01,0.3676,0.3571,1.1494,0.7299,0.3597,,,,,,,
1954-08-01,0.0,-0.3559,,-0.3623,-0.7168,,0.0,,,,0.0,
1954-09-01,-0.3663,0.0,,-0.3636,-0.361,,,-1.0949,,-0.3984,,
1954-10-01,0.0,0.0,-0.3788,0.0,0.0,,,,,,,
1954-11-01,0.0,0.0,,0.365,0.7246,,0.0,,,,-0.3876,
1954-12-01,-0.3676,-0.3571,,-0.7273,-0.7194,,,-0.369,,-0.4,,
1955-01-01,0.0,0.0,-0.3802,0.0,0.0,,,,,,,
1955-02-01,0.369,0.0,,0.3663,0.0,,-0.7752,,,,0.3891,
1955-03-01,-0.3676,0.0,,-0.365,0.0,,,-0.3704,,0.0,,
