date,Total Housing Starts Period %,Single-Family Starts Period %,2-4 Unit Starts Period %,5+ Unit Starts Period %,Starts - Northeast Period %,Starts - Midwest Period %,Starts - South Period %,Starts - West Period %
1974-10-01,-6.96,-10.47,0.0,4.07,-18.75,-7.83,-1.38,-6.64
1974-11-01,-4.11,4.94,9.09,-33.59,-23.08,17.37,-14.19,3.56
1974-12-01,-4.97,-5.94,-18.75,3.53,19.17,-11.51,-4.34,-9.87
1975-01-01,5.85,0.66,5.13,28.41,0.0,14.5,8.22,-5.24
1975-02-01,-12.4,-12.81,19.51,-16.81,33.57,-32.47,-9.42,-20.1
1975-03-01,9.85,15.29,-8.16,-4.79,-40.31,19.71,15.61,44.65
1975-04-01,1.21,2.34,2.22,-3.91,12.28,-8.03,0.25,7.39
1975-05-01,11.54,12.45,13.04,6.98,21.09,12.66,5.24,15.79
1975-06-01,-3.03,-1.47,11.54,-14.67,-17.42,5.43,-5.69,1.05
1975-07-01,12.79,5.39,36.21,45.22,47.66,14.34,8.29,2.08
1975-08-01,2.77,5.88,-13.92,-3.95,-21.69,11.25,10.9,-2.37
1975-09-01,0.32,-1.64,4.41,7.76,-0.68,-11.27,5.23,6.6
1975-10-01,6.33,8.57,32.39,-10.59,1.36,14.33,-1.59,13.68
1975-11-01,1.19,-0.38,-17.02,17.06,9.4,-5.13,9.09,-7.16
1975-12-01,-2.87,-0.97,-1.28,-11.34,-3.68,-2.1,-1.85,-4.94
1976-01-01,3.48,3.32,2.6,4.57,-3.18,-1.23,3.77,11.36
1976-02-01,12.51,18.51,-17.72,-4.8,28.95,23.6,11.64,-3.79
1976-03-01,-7.61,-11.55,27.69,4.59,-2.04,-4.02,-17.59,3.33
1976-04-01,-1.83,-3.06,-9.64,7.02,-16.15,3.14,-0.2,-1.76
1976-05-01,4.59,1.58,18.67,13.52,-8.07,1.27,0.59,20.6
1976-06-01,2.47,3.11,-10.11,3.97,10.81,-6.27,14.17,-6.68
1976-07-01,-6.29,-0.09,-10.0,-29.51,-12.8,-3.74,-5.0,-7.96
1976-08-01,10.64,4.53,16.67,42.36,9.09,14.17,4.17,17.87
1976-09-01,10.97,4.16,23.81,34.95,3.85,14.36,10.1,11.49
1976-10-01,-5.29,0.33,-12.5,-21.03,0.0,-11.28,-9.18,4.39
1976-11-01,0.74,-1.46,4.4,8.44,22.84,-11.75,2.96,1.47
1976-12-01,9.93,7.84,14.74,16.17,-11.56,22.01,9.81,9.73
1977-01-01,-15.35,-15.84,2.75,-18.81,-22.73,-44.54,-12.02,7.74
1977-02-01,27.24,36.64,29.46,-6.35,7.35,81.93,32.05,3.33
1977-03-01,6.18,-1.13,-22.07,57.29,51.37,7.95,6.37,-6.61
