date,New Single-Family Homes Sold (SAAR) Period %,Median Sales Price - New Homes Period %,Average Sales Price - New Homes Period %,Months Supply of New Houses Period %,New Houses For Sale (SAAR) Period %
1978-10-01,7.3892,1.7452,2.0186,-3.3898,-2.1635
1978-11-01,-8.4862,0.6861,0.9132,14.0351,1.7199
1978-12-01,0.8772,2.0443,1.6591,-6.1538,0.0
1979-01-01,-6.3354,0.6678,0.4451,8.1967,-0.7246
1979-02-01,-4.1114,1.4925,1.4771,3.0303,-0.7299
1979-03-01,9.6819,-1.3072,-0.2911,-2.9412,3.1863
1979-04-01,-5.6747,3.6424,3.6496,3.0303,0.0
1979-05-01,-2.8075,0.3195,1.1268,4.4118,1.6627
1979-06-01,-3.7139,2.2293,3.4819,4.2254,-1.8692
1979-07-01,2.1429,-0.6231,-3.2301,-4.0541,0.0
1979-08-01,1.958,0.3135,2.9207,-2.8169,-0.2381
1979-09-01,-0.2743,3.125,3.7838,7.2464,-1.432
1979-10-01,-7.8404,-5.6061,-6.901,0.0,-1.2107
1979-11-01,-10.8955,2.5682,3.7762,12.1622,-1.9608
1979-12-01,-6.3652,-3.7559,-2.1563,3.6145,-0.75
1980-01-01,5.9034,2.2764,-0.2755,-8.1395,-1.2594
1980-02-01,-8.6149,3.1797,5.8011,8.8608,-3.0612
1980-03-01,-12.3845,-3.5439,-6.5274,13.9535,-1.0526
1980-04-01,-21.9409,0.7987,4.1899,18.3673,-3.7234
1980-05-01,26.7568,0.0,-2.4129,-20.6897,-3.3149
1980-06-01,17.6972,2.8526,3.8462,-17.3913,-2.0
1980-07-01,15.2174,-1.3867,1.455,-14.4737,-1.7493
1980-08-01,3.6164,-0.9375,-0.9126,-7.6923,-1.4837
1980-09-01,-9.5599,7.7287,5.3947,21.6667,1.2048
1980-10-01,-5.8725,-3.9531,-3.2459,0.0,0.0
1980-11-01,0.1783,1.6768,5.5484,1.3699,0.8929
1980-12-01,-5.3381,0.4498,-0.489,2.7027,-0.59
1981-01-01,-3.9474,0.8955,-0.86,5.2632,-0.8902
1981-02-01,-0.1957,-2.071,-0.8674,1.25,0.5988
1981-03-01,0.7843,0.7553,2.0,-4.9383,-2.381
1981-04-01,-8.5603,2.9985,3.799,11.6883,0.3049
1981-05-01,-0.6383,3.0568,-1.2987,-2.3256,-1.2158
1981-06-01,-11.1349,-2.8249,1.3158,9.5238,-2.4615
1981-07-01,3.8554,1.0174,-2.4793,-2.1739,-1.5773
1981-08-01,-12.297,4.4604,5.3269,8.8889,-1.2821
1981-09-01,-10.582,-9.3664,-6.5517,15.3061,-1.2987
1981-10-01,5.3254,5.7751,1.476,-8.8496,-3.6184
