date,All Employees - Construction Period %,All Employees - Residential Building Period %,All Employees - Nonresidential Building Period %
1994-05-01,0.73,0.53,0.18
1994-06-01,0.26,0.35,0.03
1994-07-01,0.55,0.38,0.07
1994-08-01,0.27,0.3,0.64
1994-09-01,0.7,0.21,0.96
1994-10-01,0.04,0.21,0.37
1994-11-01,0.64,-0.33,0.83
1994-12-01,0.31,0.11,0.35
1995-01-01,0.15,0.02,0.45
1995-02-01,-0.8,-0.49,-1.22
1995-03-01,0.96,0.05,0.6
1995-04-01,0.19,-0.14,-0.07
1995-05-01,-0.61,-0.24,-0.98
1995-06-01,0.57,-0.3,0.8
1995-07-01,0.23,-0.02,0.48
1995-08-01,0.46,0.24,0.39
1995-09-01,0.72,0.38,0.66
1995-10-01,0.54,0.68,0.31
1995-11-01,0.09,0.52,-0.28
1995-12-01,-0.26,0.17,-0.2
1996-01-01,0.21,0.53,-0.03
1996-02-01,1.12,0.78,0.76
1996-03-01,0.57,0.48,1.02
1996-04-01,0.51,0.74,0.21
1996-05-01,0.44,0.58,0.36
1996-06-01,0.65,0.7,0.53
1996-07-01,0.42,0.2,-0.15
1996-08-01,0.52,0.9,0.18
1996-09-01,0.43,0.57,0.08
1996-10-01,0.59,0.24,0.28
1996-11-01,0.44,0.55,0.4
1996-12-01,0.12,0.22,0.32
1997-01-01,0.0,0.5,-0.3
1997-02-01,0.83,0.47,0.52
1997-03-01,0.51,1.09,0.25
1997-04-01,0.23,-0.43,0.46
1997-05-01,0.5,-0.22,0.48
1997-06-01,0.0,-0.04,-0.05
1997-07-01,0.41,0.45,0.38
1997-08-01,0.5,0.22,0.26
1997-09-01,0.48,0.09,0.32
1997-10-01,0.15,0.14,0.36
1997-11-01,0.27,0.47,0.61
1997-12-01,0.66,0.49,0.86
1998-01-01,0.76,0.1,1.08
1998-02-01,0.23,0.01,-0.01
1998-03-01,-0.47,0.58,-0.17
1998-04-01,1.34,0.65,0.91
1998-05-01,0.63,0.79,0.48
1998-06-01,0.71,1.03,0.54
1998-07-01,0.69,0.74,0.49
